id,company_id,type_id
1,2,1
2,2,2
3,2,3
4,3,1
5,3,2
6,3,3
7,4,1
8,4,2
9,4,3
10,5,1
11,5,2
12,5,3
13,6,2
14,6,3
15,7,2
16,7,3
17,8,1
18,8,2
19,8,3
20,9,2
20,9,3
21,10,2
22,10,3
23,11,2
24,11,3
25,12,2
26,12,3
27,13,1
28,13,2
29,13,3
30,14,2
31,14,3
32,15,2
33,15,3
34,16,2
35,16,3
36,17,2
37,17,3
38,18,2
39,18,3
40,19,1
41,19,2
42,19,3
43,20,2
44,20,3
45,21,2
46,21,3
47,22,2
48,22,3
49,23,2
50,23,3
51,24,2
52,24,3
53,25,2
54,25,3
55,26,2
56,26,3
57,27,2
58,27,3
59,28,2
60,28,3
61,29,2
62,29,3
63,30,2
64,30,3
65,31,2
66,31,3
67,32,2
68,32,3
69,33,2
70,33,3
71,34,2
72,34,3
73,35,2
74,35,3
75,36,2
76,36,3
77,37,2
78,38,3
79,39,3
